date	visits	yesterday	lastyear
20131018	0	2	0
20131019	1	0	0
20131020	1	1	0
20131021	0	1	0
20131022	0	0	0
20131023	1	0	0
20131024	1	1	0
20131025	0	1	0
20131026	1	0	0
20131027	0	1	0
20131028	0	0	0
20131029	0	0	0
20131030	2	0	0
20131031	1	2	0
20131101	0	1	0
20131102	0	0	0
20131103	1	0	0
20131104	0	1	0
20131105	0	0	0
20131106	1	0	0
20131107	0	1	0
20131108	0	0	0
20131109	2	0	0
20131110	1	2	0
20131111	1	1	0
20131112	3	1	0
20131113	1	3	0
20131114	0	1	0
20131115	0	0	0
20131116	0	0	2
20131117	0	0	3
20131118	0	0	3
20131119	0	0	1
20131120	0	0	1
20131121	0	0	1
20131122	0	0	0
20131123	0	0	0
20131124	0	0	0
20131125	0	0	1
20131126	0	0	1
20131127	0	0	0
20131128	0	0	0
20131129	1	0	1
20131130	0	1	3
20131201	0	0	0
20131202	0	0	0
20131203	0	0	1
20131204	0	0	4
20131205	0	0	8
20131206	0	0	4
20131207	0	0	3
20131208	0	0	4
20131209	0	0	1
20131210	0	0	3
20131211	0	0	3
20131212	0	0	6
20131213	0	0	1
20131214	0	0	4
20131215	0	0	2
20131216	0	0	1
20131217	0	0	2
20131218	0	0	3
20131219	0	0	1
20131220	0	0	8
20131221	0	0	2
20131222	0	0	0
20131223	0	0	1
20131224	0	0	0
20131225	0	0	2
20131226	0	0	1
20131227	0	0	2
20131228	0	0	4
20131229	0	0	1
20131230	0	0	1
20131231	0	0	0
