date	visits	yesterday	lastyear
20110704	2	2	0
20110705	0	2	0
20110706	5	0	0
20110707	2	5	0
20110708	1	2	0
20110709	3	1	0
20110710	2	3	0
20110711	4	2	0
20110712	2	4	0
20110713	1	2	0
20110714	2	1	0
20110715	0	2	0
20110716	0	0	0
20110717	0	0	0
20110718	1	0	0
20110719	0	1	0
20110720	1	0	0
20110721	1	1	0
20110722	0	1	0
20110723	1	0	0
20110724	2	1	0
20110725	0	2	0
20110726	0	0	0
20110727	1	0	0
20110728	1	1	0
20110729	1	1	0
20110730	0	1	5
20110731	2	0	0
20110801	0	2	1
20110802	2	0	20
20110803	1	2	24
20110804	0	1	22
20110805	1	0	24
20110806	2	1	15
20110807	0	2	22
20110808	2	0	15
20110809	2	2	22
20110810	1	2	15
20110811	1	1	1
20110812	0	1	2
20110813	1	0	1
20110814	1	1	1
20110815	0	1	0
20110816	1	0	0
20110817	1	1	1
20110818	2	1	0
20110819	0	2	1
20110820	0	0	2
20110821	0	0	0
20110822	2	0	0
20110823	1	2	0
20110824	0	1	0
20110825	0	0	0
20110826	1	0	2
20110827	2	1	1
20110828	0	2	0
20110829	0	0	0
20110830	1	0	0
20110831	1	1	1
20110901	1	1	1
20110902	1	1	0
20110903	0	1	0
20110904	0	0	1
20110905	2	0	0
20110906	1	2	0
20110907	1	1	0
20110908	1	1	0
20110909	0	1	0
20110910	0	0	0
20110911	2	0	0
20110912	1	2	0
20110913	0	1	0
20110914	1	0	0
20110915	0	1	0
20110916	0	0	0
20110917	1	0	0
20110918	1	1	0
20110919	1	1	0
20110920	1	1	0
20110921	0	1	0
20110922	0	0	0
20110923	0	0	0
20110924	0	0	0
20110925	1	0	0
20110926	0	1	0
20110927	2	0	0
20110928	0	2	0
20110929	0	0	0
20110930	1	0	0
20111001	2	1	0
20111002	0	2	0
20111003	0	0	0
20111004	1	0	0
20111005	0	1	0
20111006	0	0	0
20111007	0	0	0
20111008	1	0	0
20111009	2	1	0
20111010	1	2	0
20111011	1	1	0
20111012	1	1	0
20111013	0	1	0
20111014	1	0	0
20111015	0	1	0
20111016	0	0	0
20111017	2	0	0
20111018	0	2	0
20111019	1	0	0
20111020	2	1	0
20111021	1	2	0
20111022	0	1	0
20111023	1	0	0
20111024	1	1	0
20111025	1	1	0
20111026	2	1	0
20111027	0	2	0
20111028	0	0	0
20111029	0	0	0
20111030	3	0	0
20111031	1	3	0
20111101	1	1	0
20111102	1	1	0
20111103	1	1	0
20111104	0	1	0
20111105	1	0	0
20111106	3	1	0
20111107	1	3	0
20111108	0	1	0
20111109	1	0	0
20111110	2	1	0
20111111	1	2	0
20111112	5	1	0
20111113	1	5	0
20111114	0	1	0
20111115	1	0	0
20111116	0	1	4
20111117	0	0	1
20111118	0	0	1
20111119	0	0	1
20111120	0	0	1
20111121	0	0	2
20111122	0	0	0
20111123	0	0	1
20111124	0	0	0
20111125	0	0	1
20111126	0	0	3
20111127	0	0	2
20111128	0	0	1
20111129	0	0	1
20111130	0	0	2
20111201	0	0	2
20111202	0	0	1
20111203	0	0	1
20111204	0	0	5
20111205	0	0	10
20111206	0	0	8
20111207	0	0	5
20111208	0	0	5
20111209	0	0	1
20111210	0	0	3
20111211	0	0	5
20111212	0	0	7
20111213	0	0	2
20111214	0	0	7
20111215	0	0	3
20111216	0	0	4
20111217	0	0	2
20111218	0	0	3
20111219	0	0	1
20111220	0	0	9
20111221	0	0	4
20111222	0	0	1
20111223	0	0	1
20111224	0	0	0
20111225	0	0	2
20111226	0	0	1
20111227	0	0	2
20111228	0	0	3
20111229	0	0	1
20111230	0	0	1
20111231	0	0	1
