date	visits	yesterday	lastyear
20130820	0	0	2
20130821	0	0	1
20130822	2	0	1
20130823	1	2	0
20130824	0	1	0
20130825	0	0	0
20130826	1	0	2
20130827	2	1	1
20130828	0	2	0
20130829	0	0	0
20130830	1	0	0
20130831	1	1	1
20130901	1	1	1
20130902	1	1	0
20130903	0	1	0
20130904	0	0	1
20130905	2	0	0
20130906	1	2	0
20130907	1	1	0
20130908	1	1	0
20130909	0	1	0
20130910	1	0	0
20130911	2	1	0
20130912	1	2	0
20130913	0	1	0
20130914	1	0	0
20130915	0	1	0
20130916	0	0	0
20130917	1	0	0
20130918	1	1	0
20130919	1	1	0
20130920	1	1	0
20130921	0	1	0
20130922	0	0	0
20130923	0	0	0
20130924	0	0	0
20130925	1	0	0
20130926	0	1	0
20130927	2	0	0
20130928	0	2	0
20130929	0	0	0
20130930	1	0	0
20131001	2	1	0
20131002	0	2	0
20131003	0	0	0
20131004	1	0	0
20131005	0	1	0
20131006	0	0	0
20131007	0	0	0
20131008	1	0	0
20131009	2	1	0
20131010	1	2	0
20131011	1	1	0
20131012	1	1	0
20131013	0	1	0
20131014	1	0	0
20131015	0	1	0
20131016	0	0	0
20131017	2	0	0
20131018	0	2	0
20131019	1	0	0
20131020	2	1	0
20131021	1	2	0
20131022	0	1	0
20131023	1	0	0
20131024	1	1	0
20131025	1	1	0
20131026	2	1	0
20131027	0	2	0
20131028	0	0	0
20131029	0	0	0
20131030	3	0	0
20131031	1	3	0
20131101	1	1	0
20131102	1	1	0
20131103	1	1	0
20131104	0	1	0
20131105	1	0	0
20131106	3	1	0
20131107	1	3	0
20131108	0	1	0
20131109	2	0	0
20131110	2	2	0
20131111	1	2	0
20131112	6	1	0
20131113	1	6	0
20131114	0	1	0
20131115	1	0	0
20131116	0	1	9
20131117	0	0	4
20131118	0	0	4
20131119	0	0	1
20131120	0	0	1
20131121	0	0	2
20131122	0	0	0
20131123	0	0	1
20131124	0	0	0
20131125	0	0	2
20131126	0	0	3
20131127	0	0	2
20131128	0	0	1
20131129	1	0	1
20131130	0	1	3
20131201	0	0	2
20131202	0	0	1
20131203	0	0	1
20131204	0	0	5
20131205	0	0	10
20131206	0	0	9
20131207	0	0	5
20131208	0	0	5
20131209	0	0	1
20131210	0	0	3
20131211	0	0	5
20131212	0	0	7
20131213	0	0	2
20131214	0	0	7
20131215	0	0	3
20131216	0	0	4
20131217	0	0	2
20131218	0	0	3
20131219	0	0	1
20131220	0	0	9
20131221	0	0	4
20131222	0	0	1
20131223	0	0	1
20131224	0	0	0
20131225	0	0	2
20131226	0	0	1
20131227	0	0	2
20131228	0	0	6
20131229	0	0	1
20131230	0	0	1
20131231	0	0	2
